Highway,road_speed
ferry,1.8146308774527953
living_street,1.4176603155687086
motorway,26.802290478239737
motorway_link,11.485880880120412
primary,13.065038321352777
primary_link,9.798335703710277
residential,4.663269506839276
road,2.211611498482907
secondary,11.7116022103101
secondary_link,14.907535215740094
service,1.6966219365875232
tertiary,9.403798550286387
tertiary_link,2.3993881696124095
track,6.973520703897437
trunk,19.259384247017103
trunk_link,10.570588224815774
unclassified,3.8912624387080763
