Plate,MAPE original route,RMSE original route
110JG,1.5918489673274694,9623.23191088919
111IZ,1.6018940635991552,6864.041263616113
125KK,1.5837510585452996,14791.532601799068
171LF,2.4743606603292925,13836.12136889294
278JI,2.0765177384174365,6661.635779171474
417IZ,0.955009596657876,7668.609580429974
440HY,2.619218430901191,17712.698536574695
445LI,1.4619743675876102,8627.278456390723
471IH,2.554935255395788,16628.47821753706
580IZ,1.135736047188324,8468.656936058174
624KK,1.2880207473899197,5915.498103921293
724HU,1.2770401314258477,4995.9517950826885
761GV,1.2605186896023302,3699.310690739093
796ES,1.7245043290440987,6460.40327704671
853KK,1.4057019273947982,11258.65044870504
