MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
0.6215074856535249,4908.614489291897,0.43322910849345697,2092.9026165215323,0.875115357588442
0.5805336880047017,2643.8237467259987,0.3899307427110339,264.5701198119388,0.825602820915711
0.8111997932132641,8683.84057475927,0.4885385118563495,4820.802652276493,0.8422216445547763
0.7936641297464225,5846.2480169120845,0.4744129897711493,1345.4669376354493,0.5492339648261588
0.8910642474111576,3985.39088169544,0.41929156541398604,266.66083486798715,0.4819529910897683
0.3632319401159939,552.1637750770824,0.34859182451600534,1466.161589978492,0.9273138390978829
0.9895831792182714,8821.056501286996,0.46569840514024496,546.0984120187765,0.5754754713238854
0.5974999856593245,4717.784790389385,0.46474482335086287,3342.1030154170694,0.9167718879250785
0.772530144329425,7244.7604077588285,0.36848602829590044,1677.2229000475184,0.6270090728311875
0.457712254280992,3586.6275995621536,0.36386645896489134,1688.3106063374598,0.9795060781235309
0.6625643392369315,2078.4948249984495,0.5003640513393505,300.15878914041707,0.8540964957857846
0.4989710322236074,1514.549673180814,0.3886777659328211,100.75631008759267,0.9116403906887128
0.538754116317439,799.9161724770618,0.48615240247467406,34.702886809114545,0.8589272049634377
0.6563322121889341,3417.5378040171418,0.4246659137037181,1199.7992994127753,0.6576175510974678
0.5690237716722405,3971.6204523632096,0.4188534033303369,390.4191382995272,0.769287370789016
